dazai,賭 弓 わな 久し づしたる 矢 もて 離れ かた 
dazai,
dazai,たばこ 屋 娘 小さく 愛くるしい 
dazai,娘 飲酒 やめよ 決心 
dazai,娘 決意 聞き うれしい 
dazai,呟い うつむい 
dazai,うれし 
dazai,意志 強 呉れる 
dazai,真剣 
dazai,娘 だまっ こっくり 首肯い 
dazai,
dazai,意志 強く 
dazai,翌々日 すでに 飲酒 為し 
dazai,日暮れ 蹌踉 たばこ 屋 さき 
dazai,すみません 
dazai,小声 ぴょこんと さげ 
dazai,真実 わるい 
dazai,娘 
dazai,こんど こそ 飲ま 
dazai,なに 
dazai,娘 無心 
dazai,かんにん 
dazai,だめ 酒飲み 真似 なんか 
dazai,酔い 一時 さめ 
dazai,ありがとう 
dazai,飲ま 
dazai,たんと たんと からかい なさい 
dazai,おや ほんとう 飲ん 
dazai,あらためて 娘 瞳 凝視 
dazai,
dazai,娘 濁り なき 笑顔 応じ 
dazai,誓っ 
dazai,飲む 
dazai,芝居 よしな いね 
dazai,てんから 疑っ 呉れ 
dazai,キネマ 俳優 
dazai,岡田 時彦 
dazai,先年 なくなっ じみ 
dazai,あんな せつなかっ しんみり 述懐 行儀 紅茶 すすっ 
dazai,
dazai,どんなに 永い 散歩 いう 
dazai,なき 
dazai,息 たえ 幾度 胴 くねら 
dazai,大学生 レインコオト ポケット 両手 つっこん さっさと 
dazai,大学生 怒っ 肩 おのれ 丸い やわらか 肩 こすり つける 追っ 
dazai,大学生 よかっ 
dazai,発情 察知 
dazai,歩き 囁い 
dazai,まっすぐ 三つ ポスト キス 
dazai,からだ 固く 
dazai,
dazai,死に 
dazai,二つ 
dazai,息 
dazai,三つ 
dazai,大学生 どんどん 
dazai,追って 死ぬ 呟い わが身 雑巾 
dazai,友人 画家 使っ モデル 
dazai,花 衣服 っと 脱い だら まもり 袋 首 ぷらんとさがっていたっけ 友人 画家 苦笑 
dazai,
dazai,甚だ 身だしなみ よかっ 
dazai,鼻 かむ 両手 小指 つんと そらし 
dazai,洗練 おのれ 許し 
dazai,微妙 罪名 牢 いれ 
dazai,牢 身だしなみ よかっ 
dazai,左 肺 悪く 
dazai,検事 病気 重い 不 起訴 
dazai,見抜い 
dazai,呼び出し 訊問 
dazai,検事 机 医師 診断 書 落し 肺 わるい 
dazai,突然 咳 むせかえっ 
dazai,こんこん こん 三つ はげしく 咳 ほんとう 咳 
dazai,更に こん こん 二つ 弱い 咳 あきらか 嘘 咳 
dazai,身だしなみ よい 咳 しす なよなよ 首 あげ 
dazai,ほんとう 
dazai,能面 似 秀麗 検事 薄笑い 
dazai,懲役 求刑 みじめ 
dazai,罪名 結婚 詐欺 
dazai,不 起訴 やがて 牢 検事 笑い のち 居ら 典雅 なげい 見せ 
dazai,有名 わざと 明記 
dazai,弱く あさましき 世 冷 三つ 列記 さて そういう 乃公 
dazai,かの 新人 競作 幻 燈 まち なでしこ はま ゆう 椿 ちょい ちょい 手招き 変ら 早春 コント 集 篇 運命 不文 知り つつ 濁酒 合 ペン 貫 杖 重き しのび つつ ようやく 枚 あきらか 破廉恥 市井 売文 徒 あさまし はずかし 大家 居れ 大家 悲しき 
dazai,一笑 
dazai,ことし 正月 山梨 県 甲府 市 まち はずれ 小さい 借り ずつ 貧しい 仕事 すすめ はや 半年 すぎ 
dazai,六月 盆地 特有 猛烈 暑熱 じりじり やって来 北国 育ち 仮借 なき 地 底 湧き かえる 熱気 仰天 
